Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
12.8015,-179.994,-179.638,-104,179.935,-0.526309,-0.142938,20.8939,0.0259314,0.0710802
12.9015,-180.37,-180.216,-103.999,179.883,-0.54616,-0.700815,20.702,-0.0916336,-0.253312
13.002,-181.126,-180.791,-103.992,179.637,-0.570528,-0.8603,20.5013,-0.273324,-0.763138
13.1015,-182.132,-181.355,-103.976,179.18,-0.617363,-1.07528,20.278,-0.464594,-1.31145
13.2015,-183.272,-181.915,-103.949,178.524,-0.625327,-1.09083,20.0602,-0.629328,-1.79563
13.3015,-184.629,-182.468,-103.911,177.665,-0.665733,-1.27765,19.8323,-0.794976,-2.29397
13.4015,-185.944,-183.014,-103.861,176.665,-0.689457,-1.29763,19.6078,-0.893947,-2.60889
13.502,-187.42,-183.555,-103.798,175.553,-0.748183,-1.53421,19.3705,-1.00661,-2.97318
13.602,-189.563,-184.084,-103.719,174.208,-1.00547,-2.37348,19.0846,-1.25844,-3.77038
13.7015,-192.369,-184.599,-103.62,172.5,-1.11242,-2.54694,18.7404,-1.59758,-4.86942
13.8015,-195.652,-185.101,-103.495,170.409,-1.4553,-3.05731,18.3377,-1.94847,-6.06117
13.902,-199.36,-185.586,-103.342,167.927,-1.83569,-3.39061,17.8713,-2.28663,-7.28642
14.002,-203.423,-186.046,-103.162,165.1,-1.84617,-3.24994,17.3435,-2.60105,-8.5236
14.1025,-207.9,-186.48,-102.953,161.931,-2.27364,-3.50733,16.7354,-2.9018,-9.83063
14.202,-212.639,-186.878,-102.721,158.498,-3.11928,-3.27209,16.0465,-3.1609,-11.1368
14.3025,-217.647,-187.24,-102.466,154.828,-3.71804,-2.91177,14.9628,-3.31206,-12.4744
14.402,-222.495,-187.552,-102.204,151.138,-4.28427,-2.48094,13.7707,-3.34163,-13.633
14.5015,-227.19,-187.817,-101.941,147.503,-3.26145,-1.90896,12.4567,-3.268,-14.6936
14.602,-231.12,-188.046,-101.675,143.971,-1.88352,-1.84054,11.8679,-3.2015,-15.0911
14.7025,-234.737,-188.249,-101.406,140.523,-1.65544,-1.61562,11.4355,-3.12074,-15.2604
14.802,-238.118,-188.426,-101.138,137.227,-1.61016,-1.46772,11.027,-3.02647,-15.3444
14.9015,-241.351,-188.583,-100.87,134.044,-1.54378,-1.34009,10.6274,-2.92671,-15.3947
15.0025,-242.909,-188.721,-100.611,131.318,-5.17733,-1.89302,9.41618,-2.38724,-14.2266
15.102,-245.443,-188.829,-100.382,128.956,-4.74787,1.31075,8.20213,-2.10572,-14.399
15.202,-233.05,-188.913,-100.183,126.95,-3.87845,-0.00790796,6.88984,-1.83852,0
15.302,-234.753,-188.98,-100.011,125.247,-0.164868,-0.0718253,6.20323,-1.54756,0
15.402,-236.165,-189.044,-99.8516,123.835,-0.0467794,-0.727954,5.83167,-1.17429,0
15.502,-237.251,-189.105,-99.7057,122.749,1.78757,-2.22372,5.3651,-0.915543,0
15.602,-238.148,-189.161,-99.5739,121.852,3.21164,-3.08498,4.79389,-0.80675,0
15.702,-238.984,-189.209,-99.4522,121.016,3.20802,-2.9593,4.52527,-0.796006,0
15.802,-239.776,-189.252,-99.3366,120.224,2.48738,-3.14097,4.13405,-0.756932,0
15.902,-240.445,-189.288,-99.2359,119.555,3.4621,-3.59659,3.46414,-0.634255,0
16.0015,-241.009,-189.317,-99.1513,118.991,-5.95327,3.75826,2.95774,-0.531523,0
16.1015,-241.539,-189.343,-99.0745,118.461,-4.74084,3.17065,2.84526,-0.504337,0
16.202,-242.085,-189.369,-98.9961,117.915,5.28408,-3.24592,2.98235,-0.534104,0
16.302,-242.653,-189.395,-98.9134,117.347,5.45834,-3.276,3.18895,-0.562879,0
16.402,-243.262,-189.422,-98.8238,116.738,5.3106,-3.22621,3.48222,-0.607678,0
16.5015,-243.926,-189.452,-98.7253,116.074,-2.70539,2.37414,3.85229,-0.666143,0
16.602,-244.671,-189.483,-98.6142,115.329,4.30952,-2.67776,4.30499,-0.748989,0
16.702,-245.497,-189.516,-98.4905,114.503,3.39127,-2.04948,4.78395,-0.833264,0
16.802,-246.413,-189.551,-98.353,113.587,1.78112,-0.826568,5.27637,-0.917743,0
16.902,-247.418,-189.587,-98.2013,112.582,1.29921,-0.504707,5.77196,-0.997532,0
17.002,-248.501,-189.623,-98.0357,111.499,1.19889,-0.533524,6.24356,-1.07088,0
17.1015,-249.65,-189.658,-97.8578,110.35,1.10538,-0.562051,6.68066,-1.13759,0
17.2015,-250.869,-189.692,-97.6668,109.131,1.03099,-0.59188,7.0874,-1.19835,0
17.302,-261.688,-189.724,-97.4631,107.844,0.936676,-0.62221,7.47211,-1.25459,-9.53133
17.4015,-262.946,-189.753,-97.2506,106.516,0.870741,-0.64631,7.8254,-1.30409,-9.46142
17.502,-264.263,-189.778,-97.0257,105.125,0.816061,-0.679262,8.16189,-1.34953,-9.38867
17.602,-265.635,-189.799,-96.7923,103.696,0.728099,-0.710493,8.47515,-1.39245,-9.33027
17.7015,-267.039,-189.814,-96.5513,102.232,0.665879,-0.725804,8.76153,-1.4302,-9.27099
17.802,-268.47,-189.824,-96.2998,100.718,0.5943,-0.745331,9.03141,-1.46084,-9.18803
17.902,-269.941,-189.827,-96.0423,99.1829,0.495249,-0.770224,9.26606,-1.48814,-9.12371
18.0015,-271.45,-189.824,-95.7801,97.6287,0.445356,-0.787172,9.46865,-1.51312,-9.07908
18.1015,-272.974,-189.814,-95.5112,96.0439,0.406427,-0.790266,9.6608,-1.53322,-9.01771
18.2015,-274.373,-189.796,-95.2373,94.4501,0.553095,-0.653722,9.86532,-1.53128,-8.82267
18.302,-275.331,-189.772,-94.956,92.8859,0.828067,-0.556649,10.1553,-1.46651,-8.21691
18.402,-275.566,-189.744,-94.6667,91.451,1.32383,-0.119375,10.6036,-1.30511,-7.01669
18.5015,-275.207,-189.715,-94.3659,90.2282,2.68157,0.714939,11.2175,-1.06738,-5.43548
18.602,-274.208,-189.688,-94.042,89.2767,0.548371,0.590644,11.8398,-0.720997,-3.48454
18.7015,-273.093,-189.668,-93.7128,88.7634,0.274546,0.536139,11.9882,-0.3886,-1.85634
18.8015,-272.733,-189.651,-93.3791,88.4424,0.0378222,0.00601261,12.0391,-0.246974,-1.17522
18.902,-272.743,-189.635,-93.0412,88.189,0.458657,-0.0130296,12.2058,-0.198602,-0.932164
19.0025,-272.738,-189.618,-92.6987,87.9952,0.315176,0.00371703,12.3455,-0.157945,-0.732985
19.1025,-272.341,-189.603,-92.3548,87.8856,0.16555,0.340411,12.4336,-0.0491905,-0.226728
19.202,-271.697,-189.591,-92.0107,87.9242,0.0412913,0.472138,12.4689,0.0823889,0.378457
